query,intent,location
Is the Main Staircase open now?,ask_hours,stairscase
When is the Fast Food Restaurant available?,ask_hours,fastfood_restaurant
What time does the Meeting Room close?,ask_hours,meeting_room
When does the Campus Lobby open?,ask_hours,lobby
Tell me where the Faculty Office is.,find_location,office
What are the opening hours of the Locker Room?,ask_hours,locker_room
What does the Main Elevator offer?,get_description,elevator
Show me the way to the Faculty Office.,find_location,office
When does the Wet Laboratory open?,ask_hours,laboratorywet
What time does the Waiting Room close?,ask_hours,waitingroom
Can I visit the Campus Lobby after 8 PM?,ask_hours,lobby
I need to find the Faculty Office.,find_location,office
What programmes are running at the Waiting Room?,find_event,waitingroom
Until what time is the Main Elevator open?,ask_hours,elevator
What activities are scheduled at the University Library?,find_event,library
Tell me about the Waiting Room.,get_description,waitingroom
Until what time is the Campus Bookstore open?,ask_hours,bookstore
Is the Fast Food Restaurant open on weekends?,ask_hours,fastfood_restaurant
Are there any events at the Main Elevator?,find_event,elevator
Any workshops at the Main Auditorium this week?,find_event,auditorium
What does the Fast Food Restaurant offer?,get_description,fastfood_restaurant
Is the Main Auditorium near the entrance?,find_location,auditorium
Can I visit the Campus Museum after 8 PM?,ask_hours,museum
What events are happening at the Campus Gymnasium?,find_event,gym
Where is the Main Classroom Block?,find_location,classroom
How do I get to the Main Classroom Block?,find_location,classroom
Show me the way to the Campus Lobby.,find_location,lobby
Tell me about the Main Classroom Block.,get_description,classroom
I would like to know more about the Main Classroom Block.,get_description,classroom
What are the Fast Food Restaurant hours today?,ask_hours,fastfood_restaurant
What activities are scheduled at the Computer Laboratory?,find_event,computerroom
When is the Main Staircase available?,ask_hours,stairscase
When does the Main Staircase open?,ask_hours,stairscase
Can you list events at the Main Classroom Block?,find_event,classroom
What activities are scheduled at the Locker Room?,find_event,locker_room
Is the Campus Museum open now?,ask_hours,museum
What is the Campus Lobby?,get_description,lobby
Give me information about the Main Classroom Block.,get_description,classroom
Tell me about the Campus Museum.,get_description,museum
I would like to know more about the Faculty Office.,get_description,office
What events are happening at the Main Classroom Block?,find_event,classroom
I need to find the Wet Laboratory.,find_location,laboratorywet
What time does the Campus Lobby start?,ask_hours,lobby
What are the opening hours of the Main Staircase?,ask_hours,stairscase
Show me the way to the Main Elevator.,find_location,elevator
Where is the Campus Dining Room?,find_location,dining_room
Is there anything going on at the Campus Dining Room?,find_event,dining_room
Tell me about the Campus Bookstore.,get_description,bookstore
How do I get to the Campus Gymnasium?,find_location,gym
Give me information about the Campus Dining Room.,get_description,dining_room
What does the Computer Laboratory offer?,get_description,computerroom
Is the Main Classroom Block open now?,ask_hours,classroom
What can I do at the Faculty Office?,get_description,office
Tell me about upcoming events at the Fast Food Restaurant.,find_event,fastfood_restaurant
What are the Main Staircase hours today?,ask_hours,stairscase
Tell me about the Fast Food Restaurant.,get_description,fastfood_restaurant
What are the Faculty Office hours today?,ask_hours,office
What is the Main Staircase?,get_description,stairscase
What events are happening at the Campus Dining Room?,find_event,dining_room
What is the Art Studio?,get_description,artstudio
Is the Locker Room open on weekends?,ask_hours,locker_room
Give me information about the University Library.,get_description,library
Can you direct me to the Campus Museum?,find_location,museum
Any workshops at the Campus Bookstore this week?,find_event,bookstore
Is the Campus Bookstore open now?,ask_hours,bookstore
Are there any events at the Campus Bookstore?,find_event,bookstore
Is the Main Auditorium open now?,ask_hours,auditorium
Show me the way to the University Library.,find_location,library
What is available in the Main Elevator?,get_description,elevator
When does the Computer Laboratory open?,ask_hours,computerroom
Tell me about upcoming events at the Wet Laboratory.,find_event,laboratorywet
What can I do at the Computer Laboratory?,get_description,computerroom
What is happening at the Faculty Office today?,find_event,office
What time does the University Library close?,ask_hours,library
Is the Main Staircase open on weekends?,ask_hours,stairscase
When is the Campus Bookstore available?,ask_hours,bookstore
Show me the way to the Waiting Room.,find_location,waitingroom
What time does the Locker Room start?,ask_hours,locker_room
Can you direct me to the Campus Gymnasium?,find_location,gym
What are the opening hours of the Wet Laboratory?,ask_hours,laboratorywet
What is available in the Corridor Hub?,get_description,corridor
Any workshops at the Corridor Hub this week?,find_event,corridor
I would like to know more about the Main Elevator.,get_description,elevator
Can I visit the Meeting Room after 8 PM?,ask_hours,meeting_room
Where is the Main Elevator?,find_location,elevator
What programmes are running at the Campus Museum?,find_event,museum
What facilities does the Main Classroom Block have?,get_description,classroom
Is there anything going on at the Waiting Room?,find_event,waitingroom
What can I do at the Campus Gymnasium?,get_description,gym
Give me information about the Main Elevator.,get_description,elevator
Tell me about upcoming events at the Campus Restaurant.,find_event,restaurant
Are there seminars at the Campus Lobby?,find_event,lobby
What time does the Main Classroom Block close?,ask_hours,classroom
Where is the Faculty Office?,find_location,office
Show me the way to the Campus Restaurant.,find_location,restaurant
Tell me where the Corridor Hub is.,find_location,corridor
Is the University Library near the entrance?,find_location,library
What can I do at the Main Elevator?,get_description,elevator
